0	1	800
0	5	1000
1	2	1100
1	5	950
2	3	250
2	4	1100
2	6	1000
3	4	800
3	6	850
5	6	1000
4	7	1200
6	7	1150
5	8	1200
5	10	1900
6	8	1000
7	9	900
8	9	1000
8	10	1400
8	11	1000
9	12	950
9	13	850
10	11	900
11	12	900
12	13	650
10	18	2600
10	14	1300
11	15	1000
12	16	1100
13	17	1200
14	15	600
14	19	1300
15	16	1000
15	20	1000
15	21	800
16	17	800
16	21	850
16	22	1000
17	23	900
18	19	1200
19	20	700
20	21	300
21	22	600
22	23	900
1	0	800
5	0	1000
2	1	1100
5	1	950
3	2	250
4	2	1100
6	2	1000
4	3	800
6	3	850
6	5	1000
7	4	1200
7	6	1150
8	5	1200
10	5	1900
8	6	1000
9	7	900
9	8	1000
10	8	1400
11	8	1000
12	9	950
13	9	850
11	10	900
12	11	900
13	12	650
18	10	2600
14	10	1300
15	11	1000
16	12	1100
17	13	1200
15	14	600
19	14	1300
16	15	1000
20	15	1000
21	15	800
17	16	800
21	16	850
22	16	1000
23	17	900
19	18	1200
20	19	700
21	20	300
22	21	600
23	22	900
